metal_level,company,plan_number,plan_name,plan_type,sob_url,plan_id
Expanded Bronze,Aetna CVS Health,96992IN0060003,Bronze S: Aetna network + $0 MinuteClinic + $0 CVS Health Virtual Care 24/7,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-774683_96992IN0060003-01_SBC.pdf,0342f47d-fb37-4c55-82ee-3a9c156a6285
Platinum,Florida Blue HMO (a BlueCross BlueShield FL company),30252FL0140015,BlueCare Platinum 24K02-15 ($0 Virtual PCP Visits / $0 Labs / $10 PCP Visits / Rewards),POS,https://www.bcbsfl.com/DocumentLibrary/sbc/2025/24K02-15.pdf,03448cb9-6b9f-4ac9-9543-c829d8b2dd45
Gold,Aetna CVS Health,58840TX0110085,Gold 4 Advanced: $0 PCP + Aetna network + $0 walk-in clinic + $0 CVS Health Virtual Care 24/7,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-774743_58840TX0110085-01_SBC.pdf,0344dc53-98bf-43f3-9132-f3e51875fb88
Gold,Medica,73751ND0130055,Medica Individual Choice Gold Standard,HMO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBICGSTND&uid=FFM.pdf,0345ef63-497f-4836-b22b-d3859d871c8d
Silver,Oscar Insurance Company,23552TN0020052,Silver Classic Standard,EPO,https://d3ul0st9g52g6o.cloudfront.net/2025/TN/sbc/2025_23552TN002005201.pdf,03468337-7e6b-46c6-acac-4587ec9b64ea
Silver,Select Health,68781UT0020024,Value Silver 3000 Medical Deductible,HMO,https://selecthealth.org/files/sbc/I40A2084_20250101_GGGGGGGG_GGGG_SSSS.pdf,03477f3e-d0f2-4ab5-8725-ed734cc777ac
Silver,BridgeSpan Health Company,34541UT0280006,BridgeSpan Standard Silver Plan,HMO,https://bridgespanhealth.com/go/2025/SBC/UT/StandardSilverRVEx.pdf,03479de5-6aa6-4ce1-95dc-72c208ed60a7
Gold,Oscar Insurance Company,20069TX0100055,Gold Classic,EPO,https://d3ul0st9g52g6o.cloudfront.net/2025/TX/sbc/2025_20069TX010005501.pdf,0347a946-f910-4ed2-bde0-c693d7cf9ef5
Expanded Bronze,Aetna CVS Health,99129IL0120012,Bronze 4 Advanced: $0 PCP + Aetna network + $0 MinuteClinic + $0 CVS Health Virtual Primary Care,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-777497_99129IL0120012-01_SBC.pdf,0348d80e-a27b-436f-a324-1c6fd3359082
Gold,Aetna CVS Health,61671NC0100017,Gold 3 Advanced: Aetna network + $0 MinuteClinic + $0 CVS Health Virtual Primary Care,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-778010_61671NC0100017-01_SBC.pdf,034a32f3-e9e2-4f52-b531-7a579da13135
Silver,Ambetter of Tennessee,70111TN0110029,Focused Silver,EPO,https://api.centene.com/SBC/2025/70111TN0110029-01.pdf,034a6e4a-1b5c-4d4c-b608-d4dac7f4c1a1
Silver,Medica,53461MO0080075,Balance by Medica Silver Share,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBBLSSMO&uid=FFM.pdf,034bc346-3529-4975-9854-af2c6eda6b4a
Silver,Ambetter from Buckeye Health Plan,41047OH0010025,Complete Silver,HMO,https://api.centene.com/SBC/2025/41047OH0010025-01.pdf,034c7c27-dc41-4d05-9eed-dffcea12c41e
Expanded Bronze,Medica,21333OK0070006,Harmony by Medica Bronze Premier + Adult Eye Exam,PPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBHMBPAEEOK&uid=FFM.pdf,034ce948-8a9d-4e9b-94e5-38b2c24521a4
Catastrophic,"Antidote Health Plan of Ohio, Inc.",31981OH0010050,Catastrophic Standard,HMO,http://www.antidotehealth.com/assets/docs/25/m-sbc-25-oh-en-31981OH0010050-01-c-standard-on.pdf,034d21e3-d599-4b69-bdce-0710a33dd6ed
Silver,Blue Cross and Blue Shield of Illinois,36096IL0810194,BlueCare Direct Silver? Standard - Select Rx Copays with Advocate,HMO,https://www.bcbsil.com/sbc/ind/sbc-shsb74bhdiilp-il-2025.pdf,034e1ed7-5262-403c-9769-0bb6f9e0c009
Expanded Bronze,Blue Cross and Blue Shield of Texas,33602TX0870107,Blue Advantage Plus Bronze? Standard,POS,https://www.bcbstx.com/sbc/ind/sbc-bosa91bavitxp-tx-2025.pdf,034e298c-fe3c-4286-9516-2186cec9ddea
Expanded Bronze,Blue Cross and Blue Shield of NC,11512NC0400022,Blue Home Bronze Basic | 3 Free PCP | $20 Tier 1 Rx | Integrated | with Novant Health,EPO,https://www.bcbsnc.com/assets/shopper/public/pdf/sbc/Blue_Home_Bronze_Basic_7000_with_Novant_Health_2025.pdf,034f90e3-44ff-4527-a17b-a4e685bdd638
Silver,Oscar Insurance Company,20069TX0100052,Silver Classic Standard,EPO,https://d3ul0st9g52g6o.cloudfront.net/2025/TX/sbc/2025_20069TX010005201.pdf,0351bfd7-2772-4e34-9b8d-113f947c2f14
Gold,Florida Blue HMO (a BlueCross BlueShield FL company),30252FL0070074,myBlue Gold 24M05-74 ($0 Deductible / $0 Virtual PCP Visits / Rewards),HMO,https://www.bcbsfl.com/DocumentLibrary/sbc/2025/24M05-74.pdf,03535438-65cc-42d7-8e76-c9945d103dd5
Silver,Anthem Blue Cross and Blue Shield,29276OH0920421,Anthem Silver Pathway HMO 5400 for HSA,HMO,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemSilverPathwayXHMO5400forHSA/841L/English/DG166705367246.pdf,03537e22-f287-4270-9668-fa8e21243eba
Bronze,CareSource,54192IN0020020,Low Premium Bronze 9200 $25 Generic Drugs Adult Vision & Fitness,HMO,https://www.caresource.com/documents/Marketplace-2025-LowPrem-IN-LowPremiumBronze9200$25GenericDrugsAdultVision&Fitness-Base-V&F-sum.pdf,0354199e-e1c5-4624-b8df-7ae19a773258
Expanded Bronze,University of Utah Health Plans,42261UT0060003,Healthy Premier Bronze HSA,EPO,https://doc.uhealthplan.utah.edu/individual/2025/sbc/healthypremier/28761.pdf,03543565-38b2-4cec-9763-8fb9eb46493c
Gold,Anthem Blue Cross and Blue Shield,96751NH0150210,Anthem Gold Pathway X Enhanced 1500/25% ($0 Virtual PCP + $0 Select Drugs) Standard,HMO,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemGoldPathwayXEnhanced1500250PreferredVirtualCare0SelectDrugsStandard/81ED/English/DG166705363440.pdf,0354a02d-80a7-4d15-bacc-1313ab88a200
Silver,Aetna CVS Health,61671NC0100027,Silver 10 Advanced: $0 PCP + Aetna network + $0 MinuteClinic + Adult Dental + Vision,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-778066_61671NC0100027-01_SBC.pdf,03556fe3-f939-40de-83bd-e5b68a0e0882
Gold,Ambetter from Magnolia Health,90714MS0010019,Complete Gold,HMO,https://api.centene.com/SBC/2025/90714MS0010019-01.pdf,035701aa-deac-497f-8c7a-37ffbb4ebb51
Gold,Blue Cross and Blue Shield of Texas,33602TX0870147,Blue Advantage Plus Gold? Standard,POS,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxp-tx-2025.pdf,03575cc5-5441-4e25-a929-691af17d6a6e
Silver,Blue Cross and Blue Shield of Texas,33602TX0870241,Blue Advantage Plus Silver? 605,POS,https://www.bcbstx.com/sbc/ind/sbc-sosa20bavitxp-tx-2025.pdf,0357ef50-44bd-40ec-9512-31ed1734d323
Silver,Harvard Pilgrim Health Care,59025NH0370094,NH Local Choice HMO Silver 5000,HMO,https://www.harvardpilgrim.org/rest/eoc/content/sbc/PD0000201742.pdf,03584eb4-2f68-4537-bc44-17781e72a9dc
Gold,Medica,53461MO0070074,Medica with MU Health Care Gold Share,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBMUGSMO&uid=FFM.pdf,035e93b5-9956-425c-91fe-972bbc199dc1
Gold,UnitedHealthcare,33931OH0070008,"UHC Gold Copay Focus+ $0 Indiv Med Ded ($0 Virtual Urgent Care, $3 Tier 2 Rx, Dental + Vision, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.33931OH0070008-01.en.2025.pdf,035f0911-086b-47b4-b0a1-565f5b2f5c1d
Gold,Blue Cross and Blue Shield of Texas,33602TX0870165,Blue Advantage Plus Gold? Standard,POS,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxp-tx-2025.pdf,035f4020-ccf8-4670-83d6-6a022c506dfc
Silver,Aetna CVS Health,84600KS0130015,Silver 10 Advanced: $0 PCP + Aetna network + $0 MinuteClinic + Adult Dental + Vision,EPO,https://www.aetnacvshealth.com/documents/2025-IFP-777297_84600KS0130015-01_SBC.pdf,03603295-78e3-42a1-b807-107720b89788
Silver,Health Alliance,20129IL0330088,2025 Simplete Memorial HMO Limited Network 3500 Silver,HMO,https://www.healthalliance.org/documents/sbc/IL_IND_PUB_SBC_2025_SIMPLETE_MEMORIAL_HMO_LIMITED_NETWORK_3500_SILVER/2025.pdf,0361a087-19b7-483d-80c2-d05f6d07c377
Silver,Ambetter of Alabama,53932AL0110005,Focused Silver + Vision + Adult Dental,EPO,https://api.centene.com/SBC/2025/53932AL0110005-01.pdf,0362927b-4f7e-435d-8be3-280282c88005
Gold,BlueCross BlueShield of Tennessee,14002TN0400226,BlueCross G08S $30 PCP Copay + $0 virtual care from Teladoc Health �,EPO,https://www.bcbst.com/sbc/2025/127600/G08S_SBC.pdf,03634c2e-c9ec-4948-a9eb-d9f30f053a4a
Silver,Blue Cross and Blue Shield of NC,11512NC0100073,Blue Value Silver Standard | Limited Statewide Doctors,POS,https://www.bcbsnc.com/assets/shopper/public/pdf/sbc/Blue_Value_Silver_Standard_5000_2025.pdf,03645785-428e-4422-abd6-cb06da8124c4
Silver,Anthem Blue Cross and Blue Shield,32753MO0950002,Anthem Heart Healthy Silver Pathway 2900 ($0 Virtual PCP + $0 Select Drugs + Incentives),EPO,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemHeartHealthySilverPathwayX29000VirtualPCP0SelectDrugsIncentives/82WK/English/DG166705366904.pdf,03647fc2-32db-46be-b1f1-786b921444d4
Gold,UnitedHealthcare,69461AL0110010,UHC Gold Standard (No Referrals),EPO,https://www.uhc.com/ifp/sbc.69461AL0110010-01.en.2025.pdf,0364835f-b1a0-41de-8946-3d560a22e3fa
Gold,Ambetter from Arkansas Health & Wellness,62141AR0100035,Standard Gold + Vision + Adult Dental,PPO,https://api.centene.com/SBC/2025/62141AR0100035-01.pdf,0368c463-001d-457c-a03e-361df0f45c02
Gold,Ambetter of North Carolina,77264NC0010007,Complete Gold,HMO,https://api.centene.com/SBC/2025/77264NC0010007-01.pdf,036c899a-b906-4855-8f76-72ba094b30b5
Silver,"Antidote Health Plan of Ohio, Inc.",31981OH0030020,"Silver Elite $0 Tier-1 PCP, $0 Antidote 24/7 Virtual PCP/Urg/Chronic Care/Referred Labs, $0 Advanced Rx",HMO,http://www.antidotehealth.com/assets/docs/25/m-sbc-25-oh-en-31981OH0030020-01-s-elite-on.pdf,036e58a0-8b23-4db9-8510-f2ad0dfa345a
Gold,CareSource,77552OH0010202,Gold 1500 $15 Generic Drugs,HMO,https://www.caresource.com/documents/Marketplace-2025-Federal-OH-Gold1500$15GenericDrugs-Base-Basic-sum.pdf,036f3b4d-dc0c-47de-aba7-7800c4f4efcb
Gold,UnitedHealthcare,69443TN0140031,UHC Gold Advantage (No Referrals),EPO,https://www.uhc.com/ifp/sbc.69443TN0140031-01.en.2025.pdf,037047a8-dde4-431b-b03f-551763d4360a
Expanded Bronze,Ambetter from Arkansas Health & Wellness,62141AR0080032,Standard Expanded Bronze,PPO,https://api.centene.com/SBC/2025/62141AR0080032-01.pdf,0374678f-fa45-4557-bd5f-b3650baeb14c
Expanded Bronze,Blue Cross and Blue Shield of Texas,33602TX0870100,Blue Advantage Plus Bronze? Standard,POS,https://www.bcbstx.com/sbc/ind/sbc-bosa91bavitxp-tx-2025.pdf,0374a63f-74ff-4995-945f-9894e98210b1
Expanded Bronze,Medica,39520KS0040029,Select by Medica Bronze Share,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBSMBSKS&uid=FFM.pdf,0374c70a-7bd0-4548-a37e-4a29866eeb19
Expanded Bronze,Security Health Plan,38166WI0310006,"Premier $7,500",HMO,https://www.securityhealth.org/sbc/IFPPremier_7500_01.pdf,037748b8-5097-45c6-bf94-eb66fc9ba59e
Silver,Oscar Insurance Company,23552TN0020056,Silver Simple Breathe Easy with Enhanced COPD Benefits,EPO,https://d3ul0st9g52g6o.cloudfront.net/2025/TN/sbc/2025_23552TN002005601.pdf,0377acb7-183d-4ead-a2d0-f4170b5ac8bd
Expanded Bronze,Anthem Blue Cross and Blue Shield,29276OH0920432,Anthem Bronze Pathway HMO 7500 Standard ($0 Virtual PCP + $0 Select Drugs),HMO,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemBronzePathwayXHMO7500Standard0VirtualPCP0SelectDrugs/843H/English/DG166705367253.pdf,0377d65a-8f84-46d3-b84c-81a1be6a10a8
Silver,UnitedHealthcare,80180WI0100008,"UHC Silver Value ($0 Virtual Urgent Care, $3 Tier 2 Rx, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.80180WI0100008-01.en.2025.pdf,0377ee8f-1a5e-4bcf-9b30-a8a0c73c3d2b
Silver,UnitedHealthcare,49714WY0200004,"UHC Silver Value ($0 Virtual Urgent Care, $5 Tier 2 Rx, No Referrals)",EPO,https://www.uhc.com/ifp/sbc.49714WY0200004-01.en.2025.pdf,037975ab-3be8-423c-86a5-77f493bd9e6b
Gold,Ambetter from Arkansas Health & Wellness,62141AR0080034,Standard Gold,PPO,https://api.centene.com/SBC/2025/62141AR0080034-01.pdf,037aa6c6-3fec-4e4f-a9b8-438d1c326836
Gold,Ambetter from Absolute Total Care,79222SC0010029,Elite Gold,HMO,https://api.centene.com/SBC/2025/79222SC0010029-01.pdf,037b69af-2904-40e2-b4cf-76629bc91c89
Silver,BlueCross BlueShield of South Carolina,26065SC0750003,BlueExtend PPO HD Silver 1,PPO,https://www.southcarolinablues.com/web/nonsecure/sc/resources/873500a4-aad3-4531-a333-0869245b5515/BCBS+-+BlueExtend+PPO+HD+Silver+1+2025.pdf,0381993d-3943-4ec9-8e4a-64077016d34a
Gold,Blue Cross and Blue Shield of Texas,33602TX0870005,Blue Advantage Plus Gold? 203,POS,https://www.bcbstx.com/sbc/ind/sbc-gosh30bavitxp-tx-2025.pdf,038403f0-0f28-4004-8697-2a433ebdec02
Silver,Ambetter from Meridian,58594MI0040025,Standard Silver + Vision + Adult Dental,HMO,https://api.centene.com/SBC/2025/58594MI0040025-01.pdf,03849665-54b0-4bb4-88df-8c6903fda940
Silver,BlueCross BlueShield of South Carolina,26065SC0690002,BlueEssentials Standard Silver,EPO,https://www.southcarolinablues.com/web/nonsecure/sc/resources/8880a5ce-019a-4181-b074-9dc63b17ba21/BCBS+-+BlueEssentials+Standard+Silver++2025.pdf,0388c9fa-c5ac-4ad9-9289-5fc8f00565a7
Platinum,Florida Blue (BlueCross BlueShield FL),16842FL0120062,BlueSelect Platinum 1451 ($0 Virtual PCP Visits / $0 Labs / $15 PCP Visits / Rewards),EPO,https://www.bcbsfl.com/DocumentLibrary/sbc/2025/1451.pdf,0388eb35-c71f-4fb5-b06d-77a6005961d9
Expanded Bronze,Aspirus Health Plan,86584WI0010009,HMO HDHP Bronze 7200,HMO,https://www.aspirushealthplan.com/group-individual/files/sbcs/2025/86584WI0010009-01.pdf,0388f6f4-57ec-4937-a6fd-1adc2e919b0c
Silver,Ambetter from Arkansas Health & Wellness,62141AR0080007,Connected Silver,PPO,https://api.centene.com/SBC/2025/62141AR0080007-01.pdf,038b30a7-27da-4a44-b332-37b3c89ad411
Silver,Blue Cross and Blue Shield of Oklahoma,87571OK0350216,Blue Preferred Silver PPO? Standard,PPO,https://www.bcbsok.com/sbc/ind/sbc-spsa63eppiokp-ok-2025.pdf,038b7769-12b7-4757-a334-b2c735e41146
Silver,Ambetter from Home State Health,99723MO0090004,Premier Silver,EPO,https://api.centene.com/SBC/2025/99723MO0090004-01.pdf,038db760-7b97-4881-87b9-74e56208a268
Silver,Oscar Insurance Company,23552TN0020025,Silver Simple PCP Saver,EPO,https://d3ul0st9g52g6o.cloudfront.net/2025/TN/sbc/2025_23552TN002002501.pdf,038dcc95-a1a5-4a37-8a51-facdf1daed52
Gold,Dean Health Plan,38345WI0010162,Dean Gold Standard,HMO,https://sbc.deancare.com/api/GetPdfFile/true/Dean-Gold-Standard-1500-01_0125.PDF,038ed161-e9c7-4b7b-9930-532e23bc0a18
Silver,Security Health Plan,38166WI0270012,"SimplyOne $5,000 - 40%",EPO,https://www.securityhealth.org/sbc/IFPSimplyOne_500040_01.pdf,038f5beb-6470-4d10-8b88-8252ce0b8258
Silver,Blue Cross and Blue Shield of Montana,30751MT0550039,Blue Preferred Silver PPO? 203,PPO,https://www.bcbsmt.com/sbc/ind/sbc-spsh30ppoimtp-mt-2025.pdf,038f7597-2a60-40e2-8193-1a1722d690f2
Silver,Blue Cross and Blue Shield of Texas,33602TX0870257,Blue Advantage Plus Silver? Standard,POS,https://www.bcbstx.com/sbc/ind/sbc-sosa79bavitxp-tx-2025.pdf,0390899c-0516-4160-b991-e4dd3b877665
Gold,Blue Cross and Blue Shield of Oklahoma,87571OK0350107,Blue Advantage Gold PPO? 309,PPO,https://www.bcbsok.com/sbc/ind/sbc-gpsh45bvpiokp-ok-2025.pdf,039253f6-704d-4f40-8fb4-a0e074f2c191
Gold,Chorus Community Health Plans,14630WI0010016,Chorus Elite Gold,EPO,https://authoring-cchp.ascedia.dev/CCHP/media/PDFs/2025/SBCs/Chorus-Elite-Gold-2025-(rev-2024-0605).pdf,03927c34-8d20-4b40-9d11-f814e694c4d5
Gold,Florida Blue HMO (a BlueCross BlueShield FL company),30252FL0140033,BlueCare Gold 24K01-33S ($30 PCP Visits / Multilingual Available/ Rewards),POS,https://www.bcbsfl.com/DocumentLibrary/sbc/2025/24K01-33S.pdf,039350c0-af77-4005-82b5-933df844acdb
Catastrophic,"Health First Commercial Plans, Inc.",36194FL0450003,"Catastrophic 1746 (Primary Care Copay Visits 1-3, Open Access)",HMO,https://hf.widen.net/s/qnjsxl8jk6/2025_catastrophic-1746.pdf,03937d97-2e65-4b02-89fb-f2894dd730ab
Expanded Bronze,Anthem Blue Cross and Blue Shield,17575IN0700058,Anthem Bronze Essential 6500 HSA (+ Incentives),HMO,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemBronzeEssential6500HSAIncentives/869V/English/DG166705364881.pdf,0395fd83-ef5e-4b99-8f0d-f731530f1c41
Gold,Medica,93078IA0060055,Medica Insure Gold Standard,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBIGSTIA&uid=FFM.pdf,039672da-855a-4fac-95e7-a27252632360
Silver,"Blue Cross and Blue Shield of Kansas, Inc.",18558KS0420003,BlueCare EPO Standardized Silver,EPO,https://www.bcbsks.com/qhp-data/plan-docs/2025/MT049_BlueCareEPOStandardizedSilver_2025.pdf,03967ddd-556c-4b2c-a4dc-16f0558a2ae9
Expanded Bronze,"Sendero Health Plans, Local Nonprofit",71837TX0010020,Sendero Health Quality Care Bronze High Deductible / $50 PCP / $25 Generic Drugs / $100 Specialist,HMO,http://senderohealth.com/files/2025/71837TX001002001.pdf,03969695-d116-43fa-84f1-0eed7ab4e740
Silver,Oscar Insurance Company,69512MO0010025,Silver Simple PCP Saver,EPO,https://d3ul0st9g52g6o.cloudfront.net/2025/MO/sbc/2025_69512MO001002501.pdf,0396bba8-da65-4901-ac86-6ca729f097e0
Catastrophic,"Oscar Health Plan, Inc.",11574IL0010011,Secure (Choice),HMO,https://d3ul0st9g52g6o.cloudfront.net/2025/IL/sbc/2025_11574IL001001101.pdf,03970d9e-1913-418d-abe2-5bf03947deeb
Expanded Bronze,Ambetter of North Carolina,77264NC0010049,Everyday Bronze with Atrium Health,HMO,https://api.centene.com/SBC/2025/77264NC0010049-01.pdf,0397b79d-0e60-4217-807d-96220e8b4028
Gold,Highmark Blue Cross Blue Shield West Virginia,31274WV0590002,my Blue Access WV PPO Premier Gold 0,PPO,https://shop.highmark.com/content/sbcs/2025/WV/Individual/I_31274WV0590002-01_20250101_SBC.pdf,0398435c-68eb-48c0-aed4-b53ef87f2b8e
Gold,Ambetter from Sunflower Health Plan,34368KS0110066,Elite Gold,EPO,https://api.centene.com/SBC/2025/34368KS0110066-01.pdf,03993383-5e5d-4d2b-913c-e3bedb109aee
Expanded Bronze,"Blue Cross and Blue Shield of Kansas, Inc.",18558KS0400010,BlueCare EPO Simple Bronze HDHP,EPO,https://www.bcbsks.com/qhp-data/plan-docs/2025/MT020_BlueCareEPOSimpleBronzeHDHP_2025.pdf,039be6b4-ff8f-4cb4-8f1e-db5dc2c77e51
Gold,Medica,20305NE0040055,Medica Insure Gold Standard,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBIGSTNE&uid=FFM.pdf,039c53bf-7119-4a70-b322-214425784ede
Gold,Ambetter of Illinois,27833IL0150059,Everyday Gold + Vision + Adult Dental,HMO,https://api.centene.com/SBC/2025/27833IL0150059-01.pdf,039d3591-837f-4ac0-9781-f301ec95c436
Silver,Blue Cross and Blue Shield of Illinois,36096IL0990298,Blue Choice Preferred Silver PPO? Standard - Select Rx Copays,PPO,https://www.bcbsil.com/sbc/ind/sbc-spsa45bceiilp-il-2025.pdf,039fe54d-616d-4484-abcc-e2c4ff6ef034
Gold,Aetna CVS Health,96992IN0060005,Gold S: Aetna network + $0 MinuteClinic + $0 CVS Health Virtual Care 24/7,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-774650_96992IN0060005-01_SBC.pdf,03a11f66-93bc-41ca-ad8b-f90ffe838486
Gold,Blue Cross and Blue Shield of Texas,33602TX0870284,Blue Advantage Plus Gold? 803,POS,https://www.bcbstx.com/sbc/ind/sbc-gosd38bavitxp-tx-2025.pdf,03a47b97-f1ae-4ba3-9be9-6bb3d81e54c7
Gold,HAP CareSource,40356MI0010002,Gold,HMO,https://www.caresource.com/documents/Marketplace-2025-Federal-MI-Gold-Base-Basic-sum.pdf,03a5a87c-83a6-4be3-a60f-c6f8d475f1ad
Expanded Bronze,Kaiser Permanente,71287OR0420014,KP OR Bronze 6000,EPO,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/summary-of-benefits/nw/individual-family/2025/71287OR0420014-01-en-2025.pdf,03a6ac28-92df-43e5-9628-e92414977b2a
Gold,BlueCross BlueShield of South Carolina,26065SC0670001,Blue VirtuConnect Gold 1,EPO,https://www.southcarolinablues.com/web/nonsecure/sc/resources/90bcb403-0209-42a2-a3f3-4f2257ae4489/VirtuConnect+-+Gold+1+2025.pdf,03a79ca0-9821-4560-afa3-5fc4e717b708
Silver,Blue Cross and Blue Shield of Texas,33602TX0461102,Blue Advantage Silver HMO? 801,HMO,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxp-tx-2025.pdf,03a999bc-fd4c-4d19-9ad7-12c60ba0af20
Silver,Anthem Blue Cross and Blue Shield,17575IN0700061,Anthem Heart Healthy Silver Essential 4500 ($0 Virtual PCP + $0 Select Drugs + Incentives),HMO,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemHeartHealthySilverEssential45000VirtualPCP0SelectDrugsIncentives/869T/English/DG166705365411.pdf,03ab0227-7ae0-4df5-a5f1-750e75704e98
Silver,"Moda Health Plan, Inc.",39424OR1680004,Moda Health Affinity Silver 4500,EPO,https://www.modahealth.com/-/media/modahealth/shared/plans/OR/2025/individual/affinity/SBC/Moda-Health-Affinity-Silver-4500-SBC-2025-OR.pdf,03ae482f-cc18-4ba8-a474-c1b358d3c734
Gold,Ambetter from Arkansas Health & Wellness,37903AR0070031,Elite Gold (QualChoiceLife),PPO,https://api.centene.com/SBC/2025/37903AR0070031-01.pdf,03ae53d9-1a7c-42fd-8012-4275daddbdb8
Catastrophic,Wellpoint,44228FL0040004,Wellpoint Essential Catastrophic 9200 (+ Incentives),HMO,https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialCatastrophic9200Incentives/849N/English/DG166705513057.pdf,03b490e6-9898-4ca0-a39d-f9ab7daffe69
Gold,Anthem Blue Cross and Blue Shield,79475WI0340219,Anthem Gold Priority/Lean 1000 ($0 Virtual PCP + $0 Select Drugs + Incentives),HMO,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemGoldPriorityLean10000VirtualPCP0SelectDrugsIncentives/81TT/English/DG166705364074.pdf,03b5b4ef-e456-4f90-8151-1beed672125f
Expanded Bronze,Blue Cross and Blue Shield of Texas,33602TX0460712,Blue Advantage Bronze HMO? 204,HMO,https://www.bcbstx.com/sbc/ind/sbc-bhsh31bavitxp-tx-2025.pdf,03b84d6f-f9ba-41ce-bfae-4d574738abc8
Gold,Molina Healthcare,54172FL0010001,Gold 1,HMO,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2025/FL25SBCE_G1_1.pdf,03b8cfda-d414-44ac-b8cb-00f9af6324da
Expanded Bronze,Ambetter from Sunflower Health Plan,34368KS0120069,Standard Expanded Bronze + Vision + Adult Dental,EPO,https://api.centene.com/SBC/2025/34368KS0120069-01.pdf,03b9c41c-11a2-4430-b88b-6ae1d22be0af
Expanded Bronze,Medica,53461MO0010073,Select by Medica Expanded Bronze Standard,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBSMBESTMO&uid=FFM.pdf,03b9c8e6-21be-4b9a-a959-bf696e6e21f8
Silver,University of Utah Health Plans,42261UT0060020,Healthy Premier Silver Standard,EPO,https://doc.uhealthplan.utah.edu/individual/2025/sbc/healthypremier/2871107.pdf,03b9d271-4726-40e3-8c3d-a26acc9f5921
Expanded Bronze,Cigna Healthcare,73943NC0070046,Connect Bronze CMS Standard,HMO,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-25-sbc-nc-970983-b-connectcms.pdf,03b9d347-a455-4c9b-8adf-15932a345cd3
Catastrophic,Sanford Health Plan,31195SD0110009,"Sanford Individual Simplicity $9,200",PPO,https://www.sanfordhealthplan.org/-/media/plan-documents/2025/PY25INDSimp_9200_SD_HP2909.pdf,03bb5e27-7802-4f86-a85d-9df1852847ce
Expanded Bronze,Florida Blue HMO (a BlueCross BlueShield FL company),30252FL0070045,myBlue Bronze 2322S ($50 PCP Visits / Multilingual Available / Rewards),HMO,https://www.bcbsfl.com/DocumentLibrary/sbc/2025/2322S.pdf,03bbe290-d64e-4619-9bbd-66d61ccaa0f5
Expanded Bronze,Mountain Health CO-OP,38576WY0020010,High Plains Bronze Standard Expanded,PPO,https://mountainhealth.coop/wp-content/uploads/plans/2025/2025_WY_IND_HIGH_PLAINS_BRONZE_STANDARD_EXPANDED_SBC.pdf,03bdd5f4-068d-4ae2-8249-517a90a790de
Silver,BlueCross BlueShield of Tennessee,14002TN0400263,BlueCross S26S $40 PCP Copay + $0 virtual care from Teladoc Health �,EPO,https://www.bcbst.com/sbc/2025/127600/S26S_SBC.pdf,03bdfd3a-c298-4df8-96ee-9a0961fa8287
Bronze,PacificSource Health Plans,23603MT0290015,Navigator Bronze 9200,PPO,https://pacificsource.widen.net/content/p5jfka10fg/pdf/Navigator-Bronze-9200_23603MT0290015-01-SBC_2025.pdf,03bf2029-b199-4343-83ec-51e747c5c990
Gold,PacificSource Health Plans,10091OR0760001,Navigator Gold 1500 Exchange,PPO,https://pacificsource.widen.net/view/pdf/ta1xy8raz6/Navigator-Gold-1500-Exchange_10091OR0760001-01-SBC_2025.pdf,03bf8d5d-3406-40a3-9d72-8e45fce455a4
